ind,constrains,structura_decoding,neurological_decoding,ops,target,sd_tg_cosine,nd_tg_cosine,sd_nd_diff
14,"[[""even"", ""advmod""], [""one"", ""det""], [""conscience"", ""amod""], [""time"", ""obl""], [""go"", ""ccomp""], [""would"", ""aux""], [""say"", ""root""], [""Grindel"", ""nsubj""], [""grindel"", ""nsubj""]]
","I also assumed at some point that this would happen,"" said Grindel.
","I also assumed, up to a certain point in time, that this would be so,"" said Grindel.
","I also assumed at some point that this would be so,"" said Grindel.
","At some point of time I also assumed that it will happen, said Grindel.
",0.8181818181818182,0.7833494518006403,0.034832366381177926
15,"[[""de"", ""nmod""], [""-"", ""nsubj""], [""year"", ""nsubj""], [""old"", ""nsubj""], [""would"", ""aux""], [""July"", ""obl""], [""july"", ""obl""], [""resignation"", ""obj""], [""end"", ""case""], [""DFB"", ""nmod""], [""dfb"", ""nmod""], [""team"", ""flat""], [""explain"", ""root""], [""even"", ""advmod""], [""justify"", ""conj""], [""Grindel"", ""nsubj""], [""grindel"", ""nsubj""], [""versus"", ""case""], [""racist"", ""amod""], [""hostility"", ""obl""], [""WM"", ""nmod""], [""wm"", ""nmod""], [""defend"", ""ccomp""]]
","De 29-year-old had declared his resignation from the DFB team in July and had also explained that Grindel had not defended him against racist hostility during the World Cup.
","De 29-year-old had declared his resignation from the DFB team in July and also justified him by the fact that Grindel had not defended him against racist hostility during the World Cup.
","De 29-year-old had declared his resignation from the DFB team in July and had also justified him by the fact that Grindel had not defended him against racist hostility during the World Cup.
","The 29-year-old had declared that he quits DFB team in July and explained it with the fact that Grindel did not protect him against racist hostility during the World Cup.
",0.75,0.7276068751089989,0.022393124891001093
16,"[[""DFB"", ""compound""], [""dfb"", ""compound""], [""boss"", ""nsubj""], [""repeat"", ""root""], [""criticism"", ""obj""], [""Ozil"", ""obl""], [""ozil"", ""obl""], [""conversation"", ""nmod""], [""national"", ""nmod""], [""coach"", ""nmod""], [""Joachim"", ""appos""], [""joachim"", ""appos""], [""lion"", ""flat""], [""team"", ""conj""], [""manager"", ""conj""], [""Olivier"", ""appos""], [""olivier"", ""appos""], [""Bierhoff"", ""flat""], [""bierhoff"", ""flat""], [""ready"", ""ccomp""]]
","The DFB boss repeated his criticism of Özil that he was not ready for a conversation with Federal coach Joachim Löw and team manager Oliver Bierhoff.
","The DFB boss repeated his criticism of Özil that he was not ready for a conversation with Bundestrainer Joachim Löw and team manager Oliver Bierhoff.
","The DFB boss repeated his criticism of Özil that he was not ready for a conversation with Bundestrainer Joachim Löw and team manager Oliver Bierhoff.
","The DFB head repeated his criticism of Özil and that he is not ready for a discussion with national coach and team manager Oliver Bierhoff.
",0.7514691493021795,0.710046946804693,0.041422202497486404
18,"[[""Linz"", ""dep""], [""linz"", ""dep""], [""garden"", ""dep""], [""shed"", ""dep""], [""allotment"", ""obl""], [""settlement"", ""obl""], [""burn"", ""root""]]
","Linz: Garden hut burned in Schrebergartensiedlung
","Linz: Garden hut in Schrebergartensiedlung burnt
","Linz: Garden hut in Schrebergartensiedlung burnt
","Linz: Garden shed in allotment gardens burnt down
",0.4629100498862757,0.6172133998483676,-0.15430334996209194
19,"[[""around"", ""case""], [""watch"", ""obl""], [""would"", ""aux:pass""], [""professional"", ""nsubj:pass""], [""fire"", ""nsubj:pass""], [""brigade"", ""nsubj:pass""], [""Linz"", ""appos""], [""linz"", ""appos""], [""one"", ""det""], [""fire"", ""obl""], [""Angererhofweg"", ""obl""], [""angererhofweg"", ""obl""], [""alarm"", ""root""]]
","At 2.13 p.m., the professional fire brigade Linz was alerted to a fire in Angererhofweg.
","At 2.13 p.m., the Berufsfeuerwehr Linz was alerted to a fire in the Angererhofweg.
","At 2.13 p.m., the Berufsfeuerwehr Linz was alerted to a fire in the Angererhofweg.
","At 14.13 the Linz professional fire department was notified of a fire in Angererhofweg.
",0.6030226891555273,0.5270462766947299,0.07597641246079734
21,"[[""professional"", ""nsubj""], [""fire"", ""nsubj""], [""brigade"", ""nsubj""], [""move"", ""root""], [""end"", ""compound:prt""], [""find"", ""conj""], [""arrive"", ""obl""], [""hut"", ""obj""], [""full"", ""nmod""], [""fire"", ""nmod""]]
","The fire brigade moved out and found the hut in full fire on arrival.
","The professional fire brigade moved out and found the hut in full fire when it arrived.
","The professional fire brigade moved out and found the hut in full fire when it arrived.
","The professional fire brigade drove out and on arrival found the hut fully in flames.
",0.7035264706814485,0.6674238124719146,0.036102658209533844
22,"[[""roof"", ""nsubj:pass""], [""practical"", ""advmod""], [""whole"", ""obl""], [""away"", ""root""], [""fire"", ""nsubj:pass""], [""debris"", ""nsubj:pass""], [""necessarily"", ""advmod""], [""require"", ""amod""], [""extent"", ""obl""], [""clear"", ""conj""]]
","The roof had to be removed practically in its entirety and fire debris removed to the absolute extent required.
","The roof had to be practically completely removed and fire debris had to be removed to the absolutely necessary extent.
","The roof had to be practically completely removed and fire debris had to be removed to the extent strictly necessary.
","The roof had to be almost completely removed and the huge amount of debris needed clearing.
",0.45454545454545453,0.5454545454545454,-0.09090909090909088
24,"[[""could"", ""aux""], [""possible"", ""advmod""], [""cause"", ""root""], [""fire"", ""root""]]
","That might be the cause of fire.
","That might be the cause of the fire.
","That might be the cause of the fire.
","This was the possible cause of the fire.
",0.6,0.6,0.0
25,"[[""case"", ""advmod""], [""find"", ""root""], [""charge"", ""nsubj""], [""accord"", ""case""], [""fire"", ""obl""], [""department"", ""obl""], [""area"", ""obl""], [""big"", ""amod""], [""fire"", ""nmod""], [""intensity"", ""nmod""]]
","In any case, according to the fire brigade, the charger was in the range of the biggest fire intensity.
","In any case, according to the fire department, the charger was in the range of the greatest fire intensity.
","In any case, according to the fire department, the charger was in the range of the greatest fire intensity.
","According to the fire department the loading unit was in the most intensive area of the fire.
",0.21320071635561041,0.31980107453341566,-0.10660035817780525
26,"[[""damage"", ""nsubj:pass""], [""fire"", ""obl""], [""develop"", ""acl""], [""must"", ""aux""], [""still"", ""advmod""], [""well"", ""advmod""], [""cause"", ""obl""], [""determined"", ""root""]]
","The damage caused by the fire still has to be determined - just as the cause of the fire.
","The damage caused by the fire still has to be determined - as well as the cause of the fire.
","The damage caused by the fire still has to be determined - as well as the cause of the fire.
","The damage caused by the fire, and the cause of the fire, still needs to be investigated.
",0.7378647873726218,0.7,0.03786478737262189
29,"[[""Lindsay"", ""nsubj""], [""lindsay"", ""nsubj""], [""Lohan"", ""flat""], [""lohan"", ""flat""], [""extremely"", ""advmod""], [""strange"", ""amod""], [""action"", ""obl""], [""drive"", ""root""]]
","What drove Lindsay Lohan to this extremely strange action?
","What drove Lindsay Lohan to this very strange action?
","What drove Lindsay Lohan to this very strange action?
","What provoked Lindsay Lohan to such very strange actions?
",0.6681531047810609,0.7142857142857143,-0.046132609504653366
35,"[[""family"", ""nsubj""], [""downright"", ""advmod""], [""actress"", ""obl""], [""flee"", ""advcl""], [""track"", ""root""], [""Lohan"", ""nsubj""], [""lohan"", ""nsubj""], [""parent"", ""obj""], [""child"", ""conj""]]
","When the family flees the actress, Lohan follows the parents and their children.
","When the family flees the actress, Lohan pursues the parents and their children.
","When the family flees the actress, Lohan pursues the parents and their children.
","As the family flee in front of the actress, Lohan follows the parents and their children.
",0.7627700713964739,0.6674238124719146,0.09534625892455928
37,"[[""alles"", ""det""], [""deliver"", ""root""], [""clip"", ""obl""], [""none"", ""nmod""], [""proof"", ""obj""]]
","She doesn't provide any evidence for all this in the clip.
","She doesn't provide any evidence for all of this in the clip.
","She doesn't provide any evidence for all of this in the clip.
","Yet she does not offer any proof in the clip.
",0.3651483716701107,0.3651483716701107,0.0
38,"[[""whole"", ""amod""], [""world"", ""nsubj""], [""see"", ""root""], [""straight"", ""advmod""], [""Lohan"", ""nsubj:pass""], [""lohan"", ""nsubj:pass""], [""video"", ""obl""], [""listen"", ""xcomp""], [""family"", ""obj""], [""continue"", ""advmod""], [""street"", ""obj""], [""along"", ""advmod""], [""track"", ""advcl""]]
","""The whole world sees it right now,"" Lohan says in the video, as she continues to follow the family along the street.
","""The whole world is seeing this right now,"" Lohan says in the video, as she continues to follow the family along the street.
","""The whole world is seeing this right now,"" Lohan says in the video, as she continues to follow the family along the street.
","The whole world is watching, says Lohan in the video as she follows the family further down the street.
",0.7001400420140048,0.7001400420140048,0.0
39,"[[""apparently"", ""advmod""], [""try"", ""root""], [""child"", ""obj""], [""parent"", ""obl""], [""separate"", ""xcomp""]]
","She apparently tries to separate the children from her parents.
","Apparently, she's trying to separate the children from her parents.
","Apparently, she's trying to separate the children from her parents.
","She seems to try to separate the children from their parents.
",0.7142857142857143,0.5345224838248488,0.1797632304608655
42,"[[""tear"", ""obl""], [""assert"", ""root""], [""actress"", ""nsubj""], [""thereupon"", ""advmod""], [""shocked"", ""ccomp""], [""hold"", ""conj""], [""cheek"", ""obj""]]
","In tears, the actress asserts how shocked she is - and she keeps her cheek.
","Under tears, the actress then asserts how shocked she is - and she keeps her cheek.
","Under tears, the actress then asserts how shocked she is - and she keeps her cheek.
","In tears, the actress protests about how shocked she is - holding her cheek.
",0.8,0.7,0.10000000000000009
43,"[[""Lohan"", ""nsubj""], [""lohan"", ""nsubj""], [""action"", ""obl""], [""move"", ""csubj""], [""currently"", ""advmod""], [""fully"", ""advmod""], [""clear"", ""root""]]
","What prompted Lohan to do so is currently completely unclear.
","What prompted Lohan to take this action is currently completely unclear.
","What prompted Lohan to take this action is currently completely unclear.
","What provoked Lindsay Lohan to such very strange actions is currently completely unclear.
",0.7171371656006361,0.6324555320336759,0.08468163356696023
46,"[[""target"", ""aux""], [""asteroid"", ""iobj""], [""Ryugu"", ""appos""], [""ryugu"", ""appos""], [""approach"", ""root""], [""material"", ""obj""], [""surface"", ""obl""], [""suck"", ""ccomp""], [""Earth"", ""obl""], [""earth"", ""obl""], [""bring"", ""conj""]]
","It is said to approach the asteroid Ryugu so much that it can absorb material from its surface and bring it to Earth.
","It is said to approach the asteroid Ryugu so much that it can suck in material from its surface and bring it to Earth.
","It is said to approach the asteroid Ryugu so much that it can suck in material from its surface and bring it to Earth.
","It should get so close to the asteroid Ryugu that it can suck in material from its surface and bring it back to Earth.
",0.6666666666666666,0.75,-0.08333333333333337
47,"[[""country"", ""nsubj""], [""mascot"", ""appos""], [""Ryugu"", ""obl""], [""ryugu"", ""obl""], [""stay"", ""root""]]
","The lander Mascot will stay on Ryugu.
","The lander ""Mascot"" will stay on Ryugu.
","The lander ""Mascot"" will stay on Ryugu.
","The lander “Mascot” will remain on Ryugu.
",0.7216878364870323,0.625,0.09668783648703227
49,"[[""heavy"", ""amod""], [""earthquake"", ""obl""], [""strength"", ""nmod""], [""subsequent"", ""amod""], [""tsunami"", ""conj""], [""Indonesian"", ""amod""], [""indonesian"", ""amod""], [""island"", ""nmod""], [""Sulawesi"", ""appos""], [""sulawesi"", ""appos""], [""least"", ""advmod""], [""fatality"", ""obl""], [""speech"", ""nsubj""]]
","After the severe earthquake of 7.5 and subsequent tsunami on the Indonesian island of Sulawesi, there are at least 420 deaths.
","After the severe earthquake of 7.5 and subsequent tsunami on the Indonesian island of Sulawesi, there is talk of at least 420 fatalities.
","After the severe earthquake of 7.5 and subsequent tsunami on the Indonesian island of Sulawesi, there is talk of at least 420 fatalities.
","After the severe magnitude 7.5 earthquake and subsequent tsunami on the Indonesian island of Sulawesi, there are reports of at least 420 casualties.
",0.8685990362153793,0.8391463916782737,0.02945264453710561
51,"[[""rescue"", ""nsubj""], [""team"", ""nsubj""], [""still"", ""advmod""], [""devastate"", ""amod""], [""outside"", ""nmod""], [""world"", ""nmod""], [""cut"", ""conj""], [""area"", ""nmod""], [""advanced"", ""root""]]
","The rescue teams have not yet penetrated the devastated areas, cut off from the outside world.
","The rescue teams have not yet entered the devastated areas cut off from the outside world.
","The rescue teams have not yet entered the devastated areas cut off from the outside world.
","The rescue teams have not yet progressed into the ravaged and isolated areas.
",0.5773502691896257,0.6030226891555273,-0.025672419965901527
52,"[[""Elon"", ""nsubj""], [""elon"", ""nsubj""], [""musk"", ""flat""], [""kick"", ""root""], [""Tesla"", ""obl""], [""tesla"", ""obl""], [""chairman"", ""flat""], [""board"", ""flat""], [""return"", ""compound:prt""]]
","Elon Musk resigns as Tesla Supervisor
","Elon Musk resigns as Tesla Chief of Supervisory Board
","Elon Musk resigns as Tesla Chief of Supervisory Board
","Elon Musk resigns as Tesla chairman
",0.8,0.6761234037828132,0.12387659621718683
54,"[[""Tesla"", ""compound""], [""tesla"", ""compound""], [""boss"", ""nsubj""], [""Elon"", ""appos""], [""elon"", ""appos""], [""musk"", ""flat""], [""worried"", ""root""], [""beginning"", ""nmod""], [""August"", ""obl""], [""august"", ""obl""], [""restlessness"", ""obl""], [""stock"", ""nmod""], [""market"", ""nmod""], [""retreat"", ""obj""], [""electric"", ""nmod""], [""car"", ""nmod""], [""manufacturer"", ""nmod""], [""announce"", ""advcl""]]
","Tesla CEO Elon Musk caused trouble in the stock markets at the beginning of August when he announced a withdrawal of the Eletroautomaker.
","Tesla CEO Elon Musk caused unrest in the stock markets at the beginning of August when he announced a withdrawal of the Eletroautomaker.
","Tesla CEO Elon Musk caused unrest in the stock markets at the beginning of August when he announced a withdrawal of the Eletroautomaker.
","Tesla boss Elon Musk caused nervousness on the stock markets in early August when he announced a withdrawal by the electric car manufacturer.
",0.6681531047810609,0.6681531047810609,0.0
55,"[[""U.S"", ""compound""], [""u.s"", ""compound""], [""Exchange"", ""nsubj""], [""exchange"", ""nsubj""], [""commission"", ""nsubj""], [""sue"", ""root""], [""fraud"", ""obl""], [""agree"", ""conj""]]
","The U.S. authorities sued him for fraud, but now both have agreed.
","The U.S. Stock Exchange Inspectorate sued him for fraud, but now both of them have come to an agreement.
","The U.S. Stock Exchange Inspectorate sued him for fraud, but now both of them have come to an agreement.
","The US Securities and Exchange Commission sued him for fraud, but the parties have now agreed to a settlement.
",0.6123724356957946,0.5222329678670935,0.09013946782870108
56,"[[""Tesla"", ""nsubj""], [""tesla"", ""nsubj""], [""musk"", ""conj""], [""must"", ""aux""], [""count"", ""root""], [""Tesla"", ""compound""], [""tesla"", ""compound""], [""boss"", ""nsubj""], [""pull"", ""conj""], [""end"", ""case""], [""supervisory"", ""obl""], [""board"", ""obl""], [""return"", ""compound:prt""], [""ceo"", ""nsubj""], [""allow"", ""aux""], [""stay"", ""conj""]]
","Tesla and Musk have to pay, and the CEO is withdrawing from the Supervisory Board.
","Tesla and Musk have to pay, and the Tesla boss withdraws from the Supervisory Board, but he is allowed to remain CEO.
","Tesla and Musk have to pay, and the Tesla boss withdraws from the Supervisory Board, but he is allowed to remain CEO.
","Tesla and Musk have to pay, and the Tesla boss steps down as chairman, but he may remain as CEO.
",0.6030226891555273,0.6963106238227914,-0.09328793466726415
57,"[[""party"", ""root""], [""congress"", ""root""], [""British"", ""amod""], [""british"", ""amod""], [""conservative"", ""nmod""]]
","Party congress of British Conservatives
","British Conservative Party Congress
","British Conservative Party Congress
","The British Conservative Party Conference
",0.4472135954999579,0.6708203932499369,-0.223606797749979
60,"[[""party"", ""obl""], [""congress"", ""obl""], [""target"", ""aux""], [""around"", ""case""], [""foreign"", ""obl""], [""policy"", ""obl""], [""trade"", ""conj""], [""issue"", ""conj""], [""development"", ""conj""], [""policy"", ""conj""], [""walk"", ""root""], [""overshadow"", ""conj""], [""four"", ""amod""], [""day"", ""amod""], [""conference"", ""nsubj:pass""], [""dispute"", ""nmod""], [""prime"", ""nmod""], [""minister"", ""nmod""], [""Teresa"", ""appos""], [""teresa"", ""appos""], [""may"", ""flat""], [""Brexit"", ""conj""], [""brexit"", ""conj""], [""hardliner"", ""flat""], [""foremost"", ""amod""], [""front"", ""nmod""], [""Ex"", ""compound""], [""ex"", ""compound""], [""foreign"", ""appos""], [""minister"", ""appos""], [""Boris"", ""appos""], [""boris"", ""appos""], [""Johnson"", ""flat""], [""johnson"", ""flat""]]
","The party congress is about foreign policy, trade issues and development policy, but the four-day conference is overshadowed by the dispute between Prime Minister Theresa May and the Brexit hardliners, at the forefront of former Foreign Minister Boris Johnson.
","The party congress will focus on foreign policy, trade issues and development policy, but the four-day conference will be overshadowed by the dispute between Prime Minister Theresa May and the Brexit hardliners, at the forefront of former Foreign Minister Boris Johnson.
","The party congress is supposed to deal with foreign policy, trade issues and development policy, but the four-day conference is overshadowed by the dispute between Prime Minister Theresa May and the Brexit hardliners, at the forefront of former Foreign Minister Boris Johnson.
","The party conference was to address foreign policy, trade issues and development policy, but the four-day conference was overshadowed by the conflict between Prime Minister, Theresa May and the Brexit hardliners, with ex-Foreign Minister, Boris Johnson in the frontline.
",0.816496580927726,0.8006407690254357,0.01585581190229035
61,"[[""referendum"", ""root""], [""new"", ""amod""], [""state"", ""nmod""], [""name"", ""nmod""]]
","referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
",0.75,1.0,-0.25
63,"[[""Macedonia"", ""nsubj""], [""macedonia"", ""nsubj""], [""country"", ""root""], [""Balkans"", ""nmod""], [""balkans"", ""nmod""], [""even"", ""advmod""], [""one"", ""det""], [""province"", ""conj""], [""north"", ""compound""], [""Greece"", ""nmod""], [""greece"", ""nmod""]]
","Macedonia is a country in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in Northern Greece.
",0.7777777777777778,0.8888888888888888,-0.11111111111111105
64,"[[""Skopje"", ""nsubj""], [""skopje"", ""nsubj""], [""Athens"", ""conj""], [""athens"", ""conj""], [""fight"", ""root""], [""name"", ""obl""], [""duplication"", ""obl""], [""nice"", ""advmod""], [""since"", ""case""], [""year"", ""obl""]]
","Skopje and Athens have been arguing about these names for years.
","Skopje and Athens have been arguing over these double names for years.
","Skopje and Athens have been arguing over these double names for years.
","Skopje and Athens have been arguing about the duplicate name for years.
",0.7715167498104595,0.7142857142857143,0.05723103552474518
65,"[[""agree"", ""root""]]
","Now they have agreed.
","Now they've come to an agreement.
","Now they've come to an agreement.
","Now they have come to an agreement.
",0.5773502691896258,0.8944271909999159,-0.31707692181029
66,"[[""country"", ""nsubj""], [""Macedonia"", ""appos""], [""macedonia"", ""appos""], [""target"", ""aux""], [""future"", ""advmod""], [""north"", ""compound""], [""Macedonia"", ""obj""], [""macedonia"", ""obj""], [""mean"", ""root""], [""right"", ""conj""], [""Sunday"", ""obl""], [""sunday"", ""obl""], [""population"", ""nsubj""], [""away"", ""compound:prt""], [""well"", ""advmod""], [""go"", ""ccomp""]]
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on this Sunday - whether it is going well?
","The state of Macedonia is to be called North Macedonia in the future and that is what the population is voting on this Sunday - whether it is going well?
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on it this Sunday - whether it is going well?
","In future, the state of Macedonia is to be called North Macedonia and the population will vote on this measure on Sunday from the population - will it turn out okay?
",0.6900655593423543,0.6210590034081188,0.06900655593423544
68,"[[""Ele"", ""nsubj""], [""ele"", ""nsubj""], [""Nao"", ""flat""], [""nao"", ""flat""], [""mean"", ""nsubj""], [""jair"", ""root""], [""Bolsonaro"", ""flat""], [""bolsonaro"", ""flat""]]
","""Ele Nao"" (""The Not"") is Jair Bolsonaro.
","""Ele Nao"" (""The Not"") - meaning Jair Bolsonaro.
","""Ele Nao"" (""The Not"") - meaning Jair Bolsonaro.
","Ele Nao (""Not him"") - addressed to Jair Bolsonaro.
",0.8703882797784892,0.8807048459279793,-0.010316566149490058
69,"[[""one"", ""det""], [""week"", ""nmod""], [""presidential"", ""nmod""], [""election"", ""nmod""], [""Brazil"", ""nmod""], [""brazil"", ""nmod""], [""mood"", ""nsubj""], [""country"", ""nmod""], [""split"", ""root""]]
","A week before the presidential election in Brazil, the country's mood is divided.
","A week before the presidential election in Brazil, the mood in the country is divided.
","A week before the presidential election in Brazil, the mood in the country is divided.
","One week before the presidential election in Brazil and the mood in the country is divided.
",0.8040302522073697,0.8432740427115678,-0.03924379050419813
