ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
70,"[[""or"", ""nsubj""], [""one"", ""nsubj""], [""thousand"", ""nsubj""], [""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""], [""town"", ""obl""], [""road"", ""obl""], [""right"", ""obl""], [""-"", ""obl""], [""wingen"", ""obl""], [""populist"", ""obl""]]
","Thousands of people went to the streets in several cities to protest the right-wing populist Jair Bolsonaro.
","Thousands of people took to the streets in several cities to protest Jair Bolsonaro.
","Thousands took to the streets in several cities to protest against right-wing populist Jair Bolsonaro.
","In many cities thousands are taking to the street to protest against the right-wing populist Jair Bolsonaro.
",0.8215838362577491,0.5833333333333334,-0.23825050292441574
72,"[[""competitor"", ""nsubj""], [""universes-in-universe.org"", ""root""]]
","His strongest competitor is Fernando Haddad of the Left Workers' Party.
","His strongest competitor is Fernando Haddad of the Left Labour Party.
","His closest rival is Fernando Haddad of the leftist Workers' Party.
","His keenest competitor is Fernando Haddad from the left workers’ party.
",0.8432740427115678,0.5,-0.3432740427115678
74,"[[""task"", ""nsubj""], [""force"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.volkswagenag.com"", ""nsubj""]]
","""The Diesel task force still exists,"" said Peter Mertens, Chief Development Officer, to the industry journal ""Automobile Week"".
","""The diesel task force still exists,"" said Peter Mertens, Chief Development Officer, to the industry journal ""Automobile Week"".
","""The diesel taskforce still exists,"" Peter Mertens, Member of the Board of Management for Development, told the industry newspaper ""Automobilwoche.""
","There is still a diesel taskforce, said Peter Mertens, chief development officer from the ‘Automobilwoche’ trade journal.
",0.95,0.3796283011826483,-0.5703716988173517
79,"[[""September"", ""obl""], [""discovery"", ""obl""], [""www.teneues.com"", ""obl""], [""to"", ""root""], [""found"", ""root""], [""sth"", ""root""]]
","The taskforce was founded in September 2015 after the discovery of the diesel scandal at Audi's parent Volkswagen.
","The task force was founded in September 2015 after the discovery of the diesel scandal at Audi parent Volkswagen.
","The task force was set up in September 2015 following the discovery of the diesel scandal at Audi's parent company Volkswagen.
","The taskforce was set up in September 2015 following the discovery at Audi parent company Volkswagen.
",0.8461538461538461,0.7205766921228921,-0.12557715403095404
81,"[[""www.hnf.de"", ""nsubj""], [""supervisory"", ""nsubj""], [""board"", ""nsubj""], [""Friday"", ""obl""], [""decision"", ""obj""], [""to"", ""root""], [""adjourn"", ""root""], [""sth"", ""root""], [""until"", ""root""], [""sth"", ""root""], [""Tuesday"", ""obl""]]
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and will continue to discuss this Tuesday.
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and wants to discuss this Tuesday.
","The VW Supervisory Board postponed a decision on Stadler's future on Friday and intends to discuss it further on Tuesday.
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and will continue this discussion on Tuesday.
",0.9285714285714286,0.9285714285714286,0.0
84,"[[""to"", ""root""], [""run"", ""root""], [""or"", ""root""], [""be"", ""root""], [""in"", ""root""], [""charge"", ""root""], [""of"", ""root""], [""sth"", ""root""], [""de.mimi.hu"", ""nsubj""], [""firm"", ""obj""], [""chief"", ""obl""], [""executiv"", ""obl""]]
","Bram Schot currently heads the company as acting CEO.
","Bram Schot currently heads the company as Chief Executive Officer.
","Bram Schot, Chief Sales Officer, currently heads the company as acting CEO.
","Currently the Sales Director Bram Schot heads the company as Acting Chief Executive Officer.
",0.7071067811865476,0.5103103630798288,-0.19679641810671877
85,"[[""the"", ""obl""], [""switch"", ""obl""], [""or"", ""obl""], [""change"", ""obl""], [""from"", ""obl""], [""sth"", ""obl""], [""to"", ""obl""], [""sth"", ""obl""], [""shortfall"", ""obj""], [""in"", ""obj""], [""production"", ""obj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.lanex.cz"", ""nsubj""]]
","Due to the switch to the new exhaust and consumption test standard WLTP there were production failures at Audi, said Schot the ""Heilbronner Voice"".
","Due to the switch to the new exhaust gas and consumption test standard WLTP there were production failures at Audi, said Schot the ""Heilbronn Voice"".
","Due to the conversion to the new exhaust and consumption test standard WLTP, there are production failures at Audi, Schot told ""Heilbronner Stimme.""
","After conversion to the new emissions and consumption standard WLTP, there were production losses at Audi, Schot told the ‘Heilbronner Stimme’.
",0.9233805168766388,0.5407380704358752,-0.3826424464407636
86,"[[""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""he"", ""nsubj""], [""demand"", ""obj""], [""for"", ""obj""], [""www.schlemmerinfo.de"", ""obl""]]
","In principle, he sees a declining demand for saloons such as Audi models A6, A7 and A8, produced in Neckarsulm.
","In principle, he sees a declining demand for saloons such as Audi A6, A7 and A8, produced in Neckarsulm.
","In principle, he sees a decreasing demand for saloons such as the A6, A7 and A8 audio models, which are produced in Neckarsulm.
","Essentially, he sees a falling demand for limousines such as the Audi models A6, A7 and A8, produced in Neckarsulm.
",0.9660917830792959,0.7590721152765897,-0.2070196678027062
87,"[[""Segment"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""]]
","""This segment itself is difficult,"" he said.
","""The segment itself is difficult,"" he said.
","""The segment itself is difficult,"" he said.
","The segment in itself is a difficult one, he said.
",0.875,0.6681531047810609,-0.20684689521893906
88,"[[""www.lanex.cz"", ""nsubj""], [""to"", ""root""], [""put"", ""root""], [""or"", ""root""], [""place"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""somewhere"", ""root""], [""electromobility"", ""obl""]]
","Schot puts his trust in electromobility.
","Schot relies on electromobility.
","Schot focuses on electromobility.
","Schot is for electromobility.
",0.6708203932499369,0.7745966692414834,0.10377627599154648
89,"[[""www.joest-racing.de"", ""obl""], [""to"", ""root""], [""lie"", ""root""], [""reservation"", ""nsubj""]]
","For the e-tron, the first Audi electric car, 15,000 reservations are already available.
","For the e-tron, the first Audi electric car, there are already 15,000 reservations.
","There have already been 15,000 reservations for the e-tron, the first Audi electric car.
","There are already 15,000 reservations for the e-tron, the first Audi electric automobile.
",0.9574271077563381,0.7833494518006403,-0.1740776559556978
90,"[[""www.biologie.uni-hamburg.de"", ""nsubj""], [""to"", ""root""], [""strive"", ""root""], [""or"", ""root""], [""try"", ""root""], [""hard"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""re-election"", ""obj""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""]]
","Grindel strives for re-election - Lahm to join the DFB Bureau
","Grindel seeks re-election - Lame to the DFB Bureau
","Grindel aims for re-election - Lahm to join DFB Presidium
","Grindel seeking re-election - Lahm to join the Presidential Board of the German football association (DFB)
",0.6681531047810609,0.5669467095138409,-0.10120639526722008
91,"[[""Mainz"", ""nsubj""], [""criticism"", ""obl""], [""of"", ""obl""], [""sb"", ""obl""], [""sth"", ""obl""], [""year"", ""obl""], [""office"", ""obl""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""], [""to"", ""root""], [""stehen"", ""root""], [""or"", ""root""], [""run"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Mainz (dpa) - Reinhard Grindel wants to run for office as DFB President again next year, despite the criticism of his person after the World Cup event and the Özil affair.
","Mainz (dpa) - Reinhard Grindel wants to run again for office as DFB President in the coming year despite the criticism of his person after the World Cup and the Özil affair.
","Mainz (AP) - Reinhard Grindel wants to run for president of the DFB again next year, despite the criticism of his person following the World Cup exit and the Özil affair.
","Mainz (dpa) - Despite the criticism directed at him personally following the early FIFA World Cup exit and the scandal around Mesut Özil, Reinhard Grindel wants to run for office as President of the DFB again in the coming year.
",0.9139076937674137,0.7080881928749334,-0.20581950089248024
92,"[[""\"""", ""root""]]
","""I do my job.
","""I do my job and try to do it as well as I can,"" said Grindel as a guest early Sunday morning at ZDF's ""Current Sports Studio"".
","""I'm doing my job and trying to do it as well as I can,"" Grindel said as a guest early Sunday morning in ZDF's ""Aktuelles Sportstudio.""
","I do my work and try to make it as good as it gets, said Grindel as a guest early Sunday morning on ZDF’s weekly sports broadcast ""Das aktuelle Sportstudio"".
",0.4588314677411235,0.3061862178478973,-0.1526452498932262
93,"[[""Isle"", ""nsubj""], [""of"", ""nsubj""], [""man"", ""nsubj""], [""oneself"", ""obj""], [""re-election"", ""obl""], [""to"", ""root""], [""try"", ""root""], [""hard"", ""root""], [""to"", ""root""], [""do"", ""root""], [""sth"", ""root""], [""the"", ""obj""], [""me"", ""nsubj""]]
","You have to try again and again to re-election, I will.
","I'll do that.
","You have to keep trying to get re-elected, and I will do that.
","A re-election should be attempted and that is what I will do.
",0.47140452079103173,0.5477225575051661,0.07631803671413434
94,"[[""they"", ""nsubj""], [""to"", ""root""], [""look"", ""root""], [""in"", ""root""], [""through"", ""root""], [""out"", ""root""], [""of"", ""root""], [""sth"", ""root""], [""Support"", ""nsubj""]]
","And then you have to look if the support is there.
","And then you have to see if the support is there.
","And then you have to see if the support is there.
","And then you have to see what kind of support you get.
",0.75,0.6123724356957946,-0.13762756430420542
96,"[[""www.biologie.uni-hamburg.de"", ""nsubj""], [""Verbandschef"", ""root""]]
","Grindel has been the head of the association since April 2016 as the successor of Wolfgang Niersbach, who fell over the summer tale affair.
","Grindel has been the head of the association since April 2016 as the successor of Wolfgang Niersbach, who fell over the summer fairy tale affair.
","Grindel has been the head of the FA since April 2016, succeeding Wolfgang Niersbach, who was ousted over the summer transfer saga.
","Since April 2016, Grindel has been the head of the association as successor to Wolfgang Niersbach, who had to resign amidst the scandals surrounding the 2006 FIFA World Cup in Germany.
",0.9682458365518541,0.5773502691896257,-0.3908955673622284
97,"[[""autumn"", ""obl""], [""period"", ""obl""], [""of"", ""obl""], [""office"", ""obl""], [""elegant"", ""root""]]
","In autumn 2016, he was elected to a full term of three years.
","In autumn 2016, he was elected for a first full term of three years.
","In autumn 2016, he was elected for a first full three-year term.
","In autumn 2016 he was elected for a first full term of three years.
",0.9534625892455924,0.9,-0.05346258924559233
103,"[[""to"", ""root""], [""practise"", ""root""], [""or"", ""root""], [""practice"", ""root""], [""sth"", ""root""], [""office"", ""obj""], [""Brazilian"", ""nsubj""], [""latt"", ""nsubj""], [""to"", ""obj""], [""be"", ""obj""], [""rooted"", ""obj""], [""in"", ""obj""], [""sth"", ""obj""]]
","Currently, this office is held by the Brazilians Cacau and Celia Sasic who have family roots in Cameroon.
","Currently, this office is held by the Brazilians Cacau and Celia Sasic.
","Cacau, who was born in Brazil, and Celia Sasic, who has family roots in Cameroon, currently hold the posts.
","Currently, this position is filled by native Brazilian Cacau and Celia Sasic, who traces her family back to Cameroon.
",0.8660254037844386,0.6172133998483676,-0.24881200393607095
105,"[[""to"", ""root""], [""take"", ""root""], [""off"", ""root""], [""sth"", ""root""], [""scal"", ""obl""]]
","Take off correctly with a half-wise scale
","Properly decrease with half wise scale
","Lose weight correctly with semi-smart scales
","Losing weight the right way with semi-smart scales
",0.22360679774997896,0.0,-0.22360679774997896
106,"[[""self"", ""nsubj""], [""to"", ""root""], [""posse\u00df"", ""root""], [""or"", ""root""], [""own"", ""root""], [""or"", ""root""], [""have"", ""root""], [""and"", ""root""], [""to"", ""root""], [""hold"", ""root""], [""sth"", ""root""], [""week"", ""obl""], [""toy"", ""obj""]]
","I've owned a new toy for four weeks.
","I've had a new toy for four weeks.
","I have had a new toy for four weeks.
","I have owned a new toy for four weeks now.
",0.9354143466934853,0.9354143466934853,0.0
108,"[[""muscl"", ""obj""], [""she"", ""nsubj""], [""to"", ""root""], [""report"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Also, muscle and bone mass can indicate it.
","It can also show muscle and bone mass.
","It can also indicate muscle and bone mass.
","Even muscle and bone mass can be displayed.
",0.5714285714285714,0.6172133998483676,0.04578482841979625
109,"[[""body"", ""obj""], [""to"", ""root""], [""calculate"", ""root""], [""or"", ""root""], [""compute"", ""root""], [""sth"", ""root""], [""thing"", ""nsubj""], [""the"", ""nsubj""]]
","The body mass index also calculates the thing, but it's more for the spice.
","The body mass index also calculates the thing, but it's more for the sausage.
","The thing also calculates the body mass index, but it's more for the sausages.
","This thing also calculates my body mass index but that is rather useless anyway.
",0.9090909090909091,0.6363636363636364,-0.2727272727272727
110,"[[""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""], [""not"", ""obj""], [""anything"", ""obj""], [""me"", ""nsubj""], [""fat"", ""obj""], [""muscl"", ""obl""]]
","He doesn't say anything about replacing fat with muscle.
","Doesn't he say I replaced fat with muscle?
","It doesn't say anything about whether I've replaced fat with muscle.
","After all, it does not tell me whether I have been replacing fat with muscle.
",0.5,0.47140452079103173,-0.028595479208968266
114,"[[""New"", ""nsubj""], [""entry"", ""nsubj""], [""www.power-horse.com"", ""root""]]
","New addition Rokas Giedraitis was the top scorer in Berlin with 20 points.
","New addition Rokas Giedraitis was the dominating Berliner with 20 points.
","Newcomer Rokas Giedraitis was the leading scorer with 20 points.
","New addition Rokas Giedraitis was the top scorer of the dominating Berlin team with 20 points.
",0.7378647873726218,0.9128709291752769,0.17500614180265506
116,"[[""mast"", ""nsubj""], [""craftsman"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""the"", ""root""], [""victor"", ""root""], [""at"", ""root""], [""sth"", ""root""], [""in"", ""root""], [""sth"", ""root""], [""debut"", ""obl""], [""www.modelstudio.cz"", ""obl""], [""www.projectpq.de"", ""obl""]]
","Ex-master Brose Bamberg won with 84:80 (39:37) at S.
","Former champion Brose Bamberg won with 84:80 (39:37) at S.Oliver Würzburg.
","Former champion Brose Bamberg won the mandatory debut of coach Ainars Bagatskis with 84: 80 (39: 37) at s.Oliver Würzburg.
","Ex-champion Brose Bamberg won coach Ainars Bagatskis’ competitive debut with 84-80 (39-37) at s.Oliver Würzburg.
",0.7035264706814485,0.4166666666666667,-0.2868598040147818
118,"[[""pro"", ""nsubj""], [""to"", ""root""], [""come"", ""root""], [""numerator"", ""obl""]]
","Würzburg professional Gabriel Olaseni came to 14 meters.
","Würzburg professional Gabriel Olaseni came on 14 counters.
","Würzburg professional Gabriel Olaseni finished with 14 points.
","Würzburg professional Gabriel Olaseni scored 14 points.
",0.875,0.75,-0.125
119,"[[""in"", ""nsubj""], [""to"", ""root""], [""defeat"", ""root""], [""sb"", ""root""], [""www.deutsches-klima-konsortium.de"", ""obj""], [""Frankfurt"", ""obl""], [""www.rlm.at"", ""obl""]]
","Last year's semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt with 83:76 (41:34).
","Last year's playoff semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt with 83:76.
","Last year's playoff semi-finalist MHP Giants Ludwigsburg defeated the Fraport Skyliners from Frankfurt 83: 76 (41: 34).
","Last year’s playoff semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt 83:76 (41:34).
",0.8685990362153793,0.9095085938862486,0.040909557670869345
121,"[[""European"", ""nsubj""], [""Currency"", ""nsubj""], [""Unit"", ""nsubj""], [""ECU"", ""nsubj""], [""to"", ""root""], [""Start"", ""root""], [""or"", ""root""], [""begin"", ""root""], [""sth"", ""root""], [""run"", ""obj""], [""success"", ""obl""]]
","The EWE Baskets Oldenburg began the new season with a clear success.
","The EWE Baskets Oldenburg started the new season with a clear success.
","The EWE Baskets Oldenburg started the new season with a clear success.
","The EWE Baskets Oldenburg began the new season successfully.
",0.9,0.8432740427115678,-0.056725957288432216
126,"[[""www.voltairenet.org"", ""nsubj""], [""open"", ""root""], [""ed"", ""root""], [""mosque"", ""obj""], [""Cologne"", ""obl""]]
","Erdoğan inaugurates mosque in Cologne
","Erdoğan opens mosque in Cologne
","Erdoğan opens mosque in Cologne
","Erdoğan opens mosque in Cologne
",0.75,0.75,0.0
129,"[[""criticism"", ""root""], [""of"", ""root""], [""sb"", ""root""], [""sth"", ""root""]]
","Critics of Germany
","Criticism of Germany
","Criticism of Germany
","Criticism of Germany
",0.5,0.5,0.0
132,"[[""we"", ""nsubj""], [""sympathiz"", ""nsubj""], [""citiz"", ""obj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""]]
","We will not allow Sympathizers of the PKK or Gülen movement to shake our citizens and harm German Turkish friendship,"" he said.
","We will not allow sympathizers of the PKK or Gülen movement to shake our citizens and harm German-Turkish friendship.""
","We will not allow PKK or Gülen sympathisers to shake our citizens and damage German-Turkish friendship, ""he said.
","We will not allow sympathizers of the PKK or Gülen movement to unsettle our citizens and damage the German/Turkish friendship’, he said.
",0.76271276980969,0.6454972243679028,-0.11721554544178725
135,"[[""Islamverband"", ""nsubj""], [""to"", ""root""], [""stehen"", ""root""], [""criticism"", ""obl""], [""of"", ""obl""], [""sb"", ""obl""], [""sth"", ""obl""], [""he"", ""nsubj""]]
","The Islamic Association Ditib is in criticism because it is regarded as an extended arm of the Turkish government.
","The Islam Association Ditib is critical because it is considered an extended arm of the Turkish government.
","The Ditib Islamic Association has come under criticism because it is seen as an extension of the Turkish government.
","The Ditib Islamic association is under criticism because it is seen as an extended arm of the Turkish government.
",0.7272727272727273,0.8181818181818182,0.09090909090909094
136,"[[""global"", ""root""]]
","""Global Citizen Festival"": Music vs.
","""Global Citizen Festival"": Music Against Poverty: Stars, Buhrufe and Scares
","""Global Citizen Festival"": Music Against Poverty: Stars, boos and moments of horror
","Global Citizen Festival: Music against poverty: Stars, boos and scary moments
",0.647150228929434,0.502518907629606,-0.14463132129982792
